,time,Fx,Fy,h,x/d,y/d,CFr,CFv
235,1.4999999999999898,-0.5883615116964682,0.7806428861837961,49.99999999999999,1.5,0.7499999999999998,-0.2341016072787823,0.179807935422268
236,1.50499999999999,-0.5946185113941718,0.7791051370405351,50.00499999999999,1.5,0.7501249999999997,-0.23659118835581733,0.17919608447880472
237,1.5099999999999898,-0.5869244848852224,0.7678895439527993,50.00999999999999,1.5,0.7502499999999998,-0.2335298324778689,0.17473354177975362
238,1.5199999999999896,-0.5970286257934186,0.7910947466736253,50.01999999999999,1.5,0.7504999999999997,-0.23755014240596006,0.18396659857592604
239,1.5249999999999897,-0.595532618540916,0.7956128074838524,50.02499999999999,1.5,0.7506249999999998,-0.23695490003311726,0.18576427785376956
240,1.5299999999999894,-0.5911609216737853,0.7966533026464477,50.02999999999999,1.5,0.7507499999999997,-0.23521545711785924,0.18617827772474518
241,1.5349999999999893,-0.5885844680632724,0.7937076182527041,50.03499999999999,1.5,0.7508749999999997,-0.234190318798459,0.1850062271446128
242,1.544999999999989,-0.5912743000815344,0.7937439273397716,50.04499999999999,1.5,0.7511249999999997,-0.23526056895294212,0.1850206740713277
243,1.549999999999989,-0.5960479817855022,0.798197923081649,50.04999999999999,1.5,0.7512499999999998,-0.2371599565527767,0.1867928626684028
244,1.5549999999999888,-0.5966852202957198,0.8043627872448842,50.054999999999986,1.5,0.7513749999999997,-0.2374135056998508,0.18924578418107518
245,1.5599999999999887,-0.5959492465483777,0.8106843767241068,50.05999999999999,1.5,0.7514999999999997,-0.23712067105016238,0.19176106471561516
246,1.5699999999999883,-0.5958620859851055,0.8185367334391735,50.069999999999986,1.5,0.7517499999999997,-0.23708599096394378,0.19488541818092445
247,1.5749999999999884,-0.6008051003825108,0.8227037021231346,50.07499999999999,1.5,0.7518749999999997,-0.23905275390174743,0.19654340234032827
248,1.5799999999999883,-0.6066541064385914,0.8240492990597781,50.07999999999999,1.5,0.7519999999999998,-0.2413799994667466,0.1970787983500186
249,1.589999999999988,-0.6082341067829017,0.8169728286934602,50.08999999999999,1.5,0.7522499999999998,-0.2420086616289563,0.19426316025391158
250,1.594999999999988,-0.6079086013945568,0.8159988181366841,50.094999999999985,1.5,0.7523749999999996,-0.24187914715006095,0.19387561376707504
251,1.599999999999988,-0.6081365702970652,0.8136765721168442,50.09999999999999,1.5,0.7524999999999997,-0.2419698530943246,0.19295162143424255
252,1.6049999999999878,-0.6123938576878585,0.8147730849768074,50.10499999999999,1.5,0.7526249999999998,-0.24366377392534344,0.19338791003881
253,1.6149999999999876,-0.6329255147473921,0.8303087115126357,50.11499999999999,1.5,0.7528749999999997,-0.2518330607025744,0.19956933943182675
254,1.6199999999999877,-0.6405081364680456,0.842510490337815,50.11999999999999,1.5,0.7529999999999998,-0.2548500900236693,0.20442427296817997
255,1.6249999999999871,-0.639713597851937,0.8522416766784385,50.124999999999986,1.5,0.7531249999999996,-0.25453395315309163,0.20829618898882638
256,1.6299999999999872,-0.6308097595745374,0.8565219781756916,50.12999999999999,1.5,0.7532499999999998,-0.2509912284672442,0.2099992668418551
257,1.6399999999999868,-0.6167308591628156,0.8664450298960705,50.139999999999986,1.5,0.7534999999999996,-0.24538941198268407,0.21394752367149217
258,1.644999999999987,-0.6023699446820338,0.8628860100606127,50.14499999999999,1.5,0.7536249999999998,-0.23967538566534308,0.21253143467305413
259,1.6499999999999868,-0.5814044646245122,0.8547256119018691,50.149999999999984,1.5,0.7537499999999996,-0.2313334862017203,0.20928451541164905
260,1.6599999999999866,-0.5320193677845878,0.8311071364052047,50.15999999999999,1.5,0.7539999999999998,-0.21168378050885553,0.19988702260267668
261,1.6649999999999865,-0.5134720531220729,0.8105233819029968,50.164999999999985,1.5,0.7541249999999996,-0.20430403848480544,0.19169700691163555
262,1.6699999999999864,-0.4902569026065709,0.7852766257188026,50.16999999999999,1.5,0.7542499999999996,-0.19506702358689418,0.1816516418022596
263,1.6749999999999865,-0.510552307010951,0.7883103238345743,50.17499999999998,1.5,0.7543749999999996,-0.20314230841940947,0.1828587119296937
264,1.6849999999999856,-0.5533581763203428,0.7738745933448904,50.18499999999999,1.5,0.7546249999999997,-0.22017422265424785,0.17711491726825473
265,1.6899999999999857,-0.5582994266339006,0.766052235677093,50.18999999999998,1.5,0.7547499999999996,-0.22214028368539063,0.17400250004459786
266,1.694999999999986,-0.5530254266877977,0.7631564075515049,50.194999999999986,1.5,0.7548749999999996,-0.22004182578216896,0.17285028664326815
267,1.6999999999999855,-0.5617093362508964,0.7806981826552309,50.19999999999999,1.5,0.7549999999999997,-0.2234970436129943,0.179829937189179
268,1.7099999999999855,-0.5797647368902354,0.8034423690714841,50.20999999999999,1.5,0.7552499999999996,-0.23068105926613275,0.1888795614260546
269,1.7149999999999854,-0.5799232244641099,0.8050793041656698,50.21499999999998,1.5,0.7553749999999996,-0.23074411946813467,0.1895308772054552
270,1.719999999999985,-0.5767387949115135,0.8115166887796703,50.219999999999985,1.5,0.7554999999999996,-0.22947707520757557,0.19209223116020996
271,1.729999999999985,-0.5760482580935486,0.8166531726564344,50.22999999999998,1.5,0.7557499999999996,-0.22920231933766044,0.19413597315795703
272,1.734999999999985,-0.5807492796368023,0.8171462792714869,50.234999999999985,1.5,0.7558749999999996,-0.2310727963781362,0.1943321740460993
273,1.7399999999999851,-0.5828680974707117,0.8166501506941899,50.23999999999999,1.5,0.7559999999999997,-0.23191584720758104,0.1941347707573844
