,time,Fx,Fy,distance,x/d,y/d,CFr,CFv
0,59.99000000001225,-0.047479043042043485,0.8207366146883135,0.024999999969395503,0.0006249999992348875,1.0,-0.018891310983535203,0.3265607230103834
1,59.975000000012216,-0.0439007956006692,0.8249645445579095,0.06249999996944666,0.0015624999992361666,1.0,-0.01746757156378359,0.3282429628548636
2,59.960000000012215,-0.02328525444396575,0.8064166251069185,0.0999999999694694,0.002499999999236735,1.0,-0.00926490836477418,0.3208629801931248
3,59.95000000001222,-0.034073110437182245,0.8408463112789597,0.12499999996944666,0.0031249999992361667,1.0,-0.013557259881484016,0.33456211705158234
4,59.93500000001221,-0.02892897842166343,0.8414459179306937,0.1624999999694694,0.004062499999236735,1.0,-0.01151047478601628,0.33480069295791803
5,59.92000000001221,-0.027439225751035672,0.8398358312183851,0.19999999996946372,0.0049999999992365925,1.0,-0.010917721032229379,0.33416005981024177
6,59.910000000012204,-0.023983613940090204,0.8425562624791405,0.22499999996949782,0.005624999999237446,1.0,-0.009542776779432613,0.3352424850164691
7,59.89500000001219,-0.019034239200144937,0.8321133407998498,0.262499999969549,0.006562499999238724,1.0,-0.007573483141741478,0.3310873785025175
8,59.88000000001218,-0.017343397539207942,0.833850245993423,0.2999999999695433,0.007499999999238583,1.0,-0.0069007186209318954,0.3317784711206154
9,59.870000000012176,-0.015378920407038432,0.8346532089966829,0.324999999969549,0.008124999999238724,1.0,-0.0061190780054924745,0.33209795994833724
10,59.85500000001217,-0.013153324839955443,0.8375628394516699,0.3624999999695717,0.009062499999239294,1.0,-0.005233541665930805,0.333255665122042
11,59.84000000001216,-0.012111197868496702,0.8348741417373253,0.39999999996959446,0.009999999999239862,1.0,-0.004818892518838192,0.33218586629274743
12,59.83000000001216,-0.01184177370215445,0.8297340495845389,0.42499999996960014,0.010624999999240003,1.0,-0.004711692049183736,0.3301406886075879
13,59.81500000001215,-0.011126528763372487,0.8342458097540772,0.4624999999696229,0.011562499999240573,1.0,-0.004427105130362212,0.33193586094015576
14,59.80000000001214,-0.007944011456365821,0.8300700266135499,0.4999999999696172,0.01249999999924043,1.0,-0.003160821728148167,0.33027436961991896
15,59.79000000001214,-0.005619284619024983,0.8281912137461809,0.5249999999696229,0.013124999999240572,1.0,-0.00223584230939521,0.32952681373245285
16,59.77500000001213,-0.003705303168314368,0.827908954500328,0.5624999999697025,0.014062499999242561,1.0,-0.001474293287228232,0.32941450634692565
17,59.76000000001212,-0.006661715126685215,0.8297882976544333,0.5999999999696968,0.01499999999924242,1.0,-0.002650612229705009,0.3301622732287801
18,59.74500000001211,-0.014581270152446488,0.8311891488466405,0.6374999999697195,0.015937499999242988,1.0,-0.005801703053300433,0.33071965420821997
19,59.735000000012114,-0.021363728743782718,0.8332652963450466,0.6624999999697252,0.01656249999924313,1.0,-0.008500357581118568,0.33154572705061797
20,59.7200000000121,-0.02831772742420668,0.8349786651499027,0.6999999999697479,0.017499999999243697,1.0,-0.011267265741728543,0.33222745483719873
21,59.70500000001209,-0.028635328645619518,0.8356019594904083,0.7374999999697422,0.018437499999243556,1.0,-0.011393635252528235,0.3324754557754304
22,59.6950000000121,-0.02846900865157379,0.8372263321838396,0.7624999999697764,0.01906249999924441,1.0,-0.011327458629559757,0.3331217731343881
23,59.68000000001207,-0.029324083069220887,0.8448340704953863,0.7999999999698559,0.0199999999992464,1.0,-0.011667681930259657,0.33614879602946873
24,59.66500000001207,-0.0294939242048981,0.8432512604434916,0.8374999999697934,0.020937499999244834,1.0,-0.01173525957096808,0.33551901592013234
25,59.65500000001207,-0.030677158080204967,0.8377855260571523,0.8624999999698559,0.0215624999992464,1.0,-0.012206053371190248,0.3333442693070992
26,59.64000000001207,-0.02857191969097256,0.8415627377754096,0.8999999999698503,0.022499999999246255,1.0,-0.011368405631107355,0.3348471740972624
27,59.625000000012044,-0.02578930786092914,0.8427089440411208,0.9374999999699014,0.023437499999247536,1.0,-0.010261239562463869,0.3353032350797395
28,59.615000000012046,-0.027947962029769742,0.8434002315874205,0.9624999999698787,0.024062499999246968,1.0,-0.011120140765956138,0.33557828965496816
29,59.60000000001204,-0.03007128068993288,0.8461361561168459,0.9999999999699014,0.024999999999247534,1.0,-0.011964982417266698,0.3366668794369292
30,59.58500000001204,-0.034561971172004366,0.8495403825337744,1.0374999999698957,0.025937499999247392,1.0,-0.013751771387560206,0.33802137809107463
31,59.575000000012025,-0.03675950265080926,0.8540273007178449,1.0624999999699014,0.026562499999247535,1.0,-0.01462614138118981,0.33980666611168403
32,59.560000000012025,-0.023998411575459108,0.8508084002473111,1.0999999999699526,0.027499999999248813,1.0,-0.009548664571470192,0.3385259063086683
33,59.54500000001201,-0.034982103093871245,0.8296367753856078,1.1374999999699469,0.02843749999924867,1.0,-0.013918936567849734,0.3301019844335999
34,59.535000000012005,-0.03936013945483125,0.8278915027281981,1.1624999999699526,0.029062499999248814,1.0,-0.01566090188755683,0.3294075625074252
35,59.520000000012,-0.04006841437597492,0.827914414379948,1.1999999999700037,0.029999999999250092,1.0,-0.015942715524476923,0.3294166787640013
36,59.50500000001199,-0.016180670693780368,0.8291398405084758,1.2374999999700265,0.03093749999925066,1.0,-0.006438084308643283,0.3299042603283741
37,59.490000000011975,-0.02965676247101508,0.8248231777181196,1.274999999970106,0.031874999999252654,1.0,-0.011800050858410656,0.32818671477650896
38,59.48000000001198,-0.026530877008530657,0.8241127992662025,1.2999999999700265,0.03249999999925066,1.0,-0.010556300551176928,0.3279040641712876
