time,time_change,time,time_change,h,F,buoyancy,Fv(N),x/d,y/d,Cfr,Cfv
47.034,29.74,47.034,29.74,50.26,1.976154214,0.328736255,1.647417959,0,0.7565,0,0.655486779
47.029,29.735,47.029,29.735,50.265,1.975751067,0.328736255,1.647014812,0,0.756625,0,0.655326372
47.024,29.73,47.024,29.73,50.27,1.975264515,0.328736255,1.64652826,0,0.75675,0,0.655132779
47.019,29.725,47.019,29.725,50.275,1.974542123,0.328736255,1.645805868,0,0.756875,0,0.654845348
47.014,29.72,47.014,29.72,50.28,1.973566221,0.328736255,1.644829966,0,0.757,0,0.654457049
47.009,29.715,47.009,29.715,50.285,1.972340165,0.328736255,1.64360391,0,0.757125,0,0.653969217
47.004,29.71,47.004,29.71,50.29,1.970959831,0.328736255,1.642223576,0,0.75725,0,0.653419999
46.999,29.705,46.999,29.705,50.295,1.970197942,0.328736255,1.641461687,0,0.757375,0,0.653116854
46.994,29.7,46.994,29.7,50.3,1.970880045,0.328736255,1.64214379,0,0.7575,0,0.653388254
46.989,29.695,46.989,29.695,50.305,1.973088959,0.328736255,1.644352704,0,0.757625,0,0.654267153
46.984,29.69,46.984,29.69,50.31,1.974787563,0.328736255,1.646051308,0,0.75775,0,0.654943005
46.979,29.685,46.979,29.685,50.315,1.978684313,0.328736255,1.649948057,0,0.757875,0,0.656493473
46.974,29.68,46.974,29.68,50.32,1.974987764,0.328736255,1.646251509,0,0.758,0,0.655022663
46.969,29.675,46.969,29.675,50.325,1.955130115,0.328736255,1.62639386,0,0.758125,0,0.647121556
46.964,29.67,46.964,29.67,50.33,1.954149042,0.328736255,1.625412787,0,0.75825,0,0.646731199
46.959,29.665,46.959,29.665,50.335,1.953177194,0.328736255,1.624440938,0,0.758375,0,0.646344513
46.954,29.66,46.954,29.66,50.34,1.952744427,0.328736255,1.624008172,0,0.7585,0,0.646172321
46.949,29.655,46.949,29.655,50.345,1.952972663,0.328736255,1.624236407,0,0.758625,0,0.646263132
46.944,29.65,46.944,29.65,50.35,1.949782416,0.328736255,1.62104616,0,0.75875,0,0.644993774
46.939,29.645,46.939,29.645,50.355,1.949787054,0.328736255,1.621050799,0,0.758875,0,0.644995619
46.934,29.64,46.934,29.64,50.36,1.951260056,0.328736255,1.622523801,0,0.759,0,0.645581708
46.929,29.635,46.929,29.635,50.365,1.95434423,0.328736255,1.625607974,0,0.759125,0,0.646808862
46.924,29.63,46.924,29.63,50.37,1.953106985,0.328736255,1.62437073,0,0.75925,0,0.646316578
46.919,29.625,46.919,29.625,50.375,1.931879073,0.328736255,1.603142817,0,0.759375,0,0.63787026
46.914,29.62,46.914,29.62,50.38,1.931190834,0.328736255,1.602454579,0,0.7595,0,0.637596418
46.909,29.615,46.909,29.615,50.385,1.930776561,0.328736255,1.602040306,0,0.759625,0,0.637431584
46.904,29.61,46.904,29.61,50.39,1.930559114,0.328736255,1.601822859,0,0.75975,0,0.637345065
46.899,29.605,46.899,29.605,50.395,1.930421486,0.328736255,1.60168523,0,0.759875,0,0.637290304
