"时间","力 1 Monitor 4: 力 1 Monitor 4 (N)","力 2 Monitor 4: 力 2 Monitor 4 (N)","力 3 Monitor 4: 力 3 Monitor 4 (N)"
0.005,-3.610503676106313,0.09805343332836686,0.17083116655696307
0.01,-0.9930276643113222,0.003854605078510113,0.1470228756906728
0.015,0.4874214750784632,-0.04726070749964845,0.37510517322868164
0.02,0.2968907877987301,-0.046100792101320835,0.39095387671024184
0.030000000000000002,-0.3843009338000467,0.007952932035058953,0.34406589002222565
0.035,-0.297324322522229,0.007811845362113011,0.3305788425779836
0.04,-0.21312846187274692,0.0035895865032637966,0.33591633735387205
0.045,-0.18589680006387527,0.0014784292308238252,0.3416072410996268
0.05499999999999999,-0.19510202510043462,2.3026482242376883E-4,0.3495508681858905
0.05999999999999999,-0.2090438721516338,0.001250380836450047,0.34809844846739013
0.06499999999999999,-0.2178773619818136,0.0024133771358339708,0.3446075904494145
0.075,-0.2247291884522603,0.002243928118520315,0.3394983775987387
0.08,-0.22575992120339672,0.0018907755323718557,0.3381367733123097
0.085,-0.22902475696860092,0.0015483732250323014,0.33741240656651633
0.09000000000000001,-0.23396987786032122,0.001451051532895072,0.33717918594606794
0.10000000000000002,-0.2426508015154938,0.0017762290511074532,0.33687154062225255
0.10500000000000002,-0.24498453928193997,0.0018167928452115442,0.3369354341206177
0.11000000000000003,-0.2461345033295661,0.001773153222357748,0.3371892263589187
0.11500000000000003,-0.24886537928210942,0.0015836318128430588,0.33764285418024576
0.12500000000000003,-0.2529816603994981,0.0013853886356346191,0.33820377028837983
0.13000000000000003,-0.2537560748402465,0.0011954569824191227,0.33841411544457517
0.13500000000000004,-0.2549072968545415,0.0010637088206434126,0.33875064768110497
0.14500000000000005,-0.2565023747984997,9.738836333395126E-4,0.3395265363569178
0.15000000000000005,-0.2567369706187236,8.451523392806626E-4,0.3399559817907839
0.15500000000000005,-0.2574036491474146,7.192886352223485E-4,0.3404660576185873
0.16000000000000006,-0.25884167691910054,7.51853852520086E-4,0.34102465007778965
0.17000000000000007,-0.2623670258882446,0.0010141160934610555,0.34202322444459177
0.17500000000000007,-0.26274181652686707,0.0012149977371566922,0.34225826872380094
0.18000000000000008,-0.2627336293302832,0.0015214371628181622,0.3422696927260611
0.18500000000000008,-0.26140019196945746,0.001984463709680747,0.3421406337271314
0.1950000000000001,-0.2579136822692846,0.0026171053845026066,0.3416877659253819
0.2000000000000001,-0.25644889010360794,0.0028634550863882438,0.34115722541907495
0.2050000000000001,-0.2560447113938746,0.0029907657449935857,0.3406410911364925
0.2150000000000001,-0.2550212981092649,0.0029826807160565666,0.3395748665474475
0.2200000000000001,-0.2549966306457554,0.0027675573607125383,0.33949948216151077
0.22500000000000012,-0.2548219311035132,0.002504214517101949,0.3397004114306123
0.23000000000000012,-0.2548239474561701,0.0021455282647307103,0.3403306317315968
0.24000000000000013,-0.2549695138148172,0.0016429335640583097,0.3422004444544683
0.24500000000000013,-0.2545634255236822,0.0015738160201827834,0.3432711384534821
0.2500000000000001,-0.253746579483901,0.0016391761795951738,0.3444743233302519
0.2550000000000001,-0.2530556358321228,0.0016973075174809109,0.3457631364864618
0.2650000000000001,-0.251172997762112,0.002190694499720972,0.3473958944735955
